Seed ID,Group,Germinated,GerminationRate,SeedHeight,RootLength,GerminationTime,SurvivalRate
1,Manual,0.3,6.8,1,3,2,1
3,Manual,0.4,6.7,1,3,3,1
5,Manual,0.3,8.8,1,1,1,1
7,Manual,0.3,6.7,1,2,2,1
9,Manual,0.4,6.5,1,2,2,1
11,Manual,0.4,6.7,1,3,3,1
13,Manual,0.3,6.8,1,3,3,1
15,Manual,0.2,6.9,1,2,2,1
17,Manual,0.3,7.8,1,1,1,1
19,Manual,0.3,8.8,1,2,2,1
21,Manual,0.3,8.9,1,3,3,1
23,Manual,0.2,6.7,1,3,3,1
25,Manual,0.3,7.8,1,2,2,1
27,Manual,0.3,8.8,1,3,3,1
29,Manual,0.3,7.8,1,3,3,1
31,Manual,0.3,6.2,1,1,1,1
33,Manual,0.4,6.5,1,1,1,1
35,Manual,0.3,8.2,1,2,2,1
37,Manual,0.3,8.2,1,3,3,1
39,Manual,0.3,7.2,1,2,2,1
41,Manual,0.3,6.3,1,2,2,1
43,Manual,0.3,6.4,1,2,2,1
45,Manual,0.3,7.2,1,2,2,1
47,Manual,0.3,7.3,1,3,3,1
49,Manual,0.4,8.1,1,3,3,1
51,Manual,0.3,7.4,1,3,3,1
53,Manual,0.2,8.3,1,3,3,1
55,Manual,0.3,6.5,1,3,3,1
57,Manual,0.3,7.4,1,2,2,1
59,Manual,0.4,6.2,1,2,2,1
61,Manual,0.3,7.2,1,2,2,1
63,Manual,0.3,6.1,1,3,3,1
65,Manual,0.4,7.5,1,2,2,1
67,Manual,0.4,8.5,1,3,3,1
69,Manual,0.3,6.5,1,2,2,1
71,Manual,0.3,8.4,1,2,2,1
73,Manual,0.4,7.4,1,3,3,1
75,Manual,0.3,7.5,1,3,3,1
77,Manual,0.4,6.4,1,2,2,1
79,Manual,0.4,6.3,1,3,3,1
81,Manual,0.4,7.3,1,3,3,1
83,Manual,0.4,7.4,1,2,2,1
85,Manual,0.3,6.5,1,3,3,1
87,Manual,0.2,8.2,1,3,3,1
89,Manual,0.5,8.3,1,3,3,1
91,Manual,0.2,7.4,1,2,2,1
93,Manual,0.2,7.3,1,3,3,1
95,Manual,0.2,6.3,1,3,3,1
97,Manual,0.3,6.2,1,3,3,1
99,Manual,0.2,7.2,1,2,2,1
101,Manual,0.4,8.1,1,3,3,1
103,Manual,0.4,8.1,1,3,3,1
105,Manual,0.4,7.3,1,3,3,1
107,Manual,0.2,6.5,1,3,3,1
109,Manual,0.2,6.6,1,3,3,1
111,Manual,0.4,7.4,1,3,3,1
113,Manual,0.4,8.2,1,2,2,1
115,Manual,0.4,6.5,1,3,3,1
117,Manual,0.3,6.3,1,3,3,1
119,Manual,0.4,6.4,1,2,2,1
121,Manual,0.5,7.1,1,3,3,1
123,Manual,0.4,7.2,1,2,2,1
125,Manual,0.3,7.3,1,2,2,1
127,Manual,0.2,6.2,1,3,3,1
129,Manual,0.3,8.2,1,3,3,1
131,Manual,0.3,7.4,1,2,2,1
133,Manual,0.3,7.5,1,3,3,1
135,Manual,0.4,7.7,1,3,3,1
137,Manual,0.5,6.5,1,2,2,1
139,Manual,0.3,6.4,1,3,3,1
141,Manual,0.3,7.5,1,2,2,1
143,Manual,0.4,7.3,1,2,2,1
145,Manual,0.4,8.2,1,2,2,1
147,Manual,0.3,6.4,1,2,2,1
149,Manual,0.3,6.3,1,2,2,1
151,Manual,0.4,6.2,1,1,1,1
153,Manual,0.4,7.2,1,3,3,1
155,Manual,0.2,7.3,1,3,3,1
157,Manual,0.3,8.2,1,3,3,1
159,Manual,0.3,8.3,1,3,3,1
161,Manual,0.3,7.3,1,2,2,1
163,Manual,0.3,6.4,1,3,3,1
165,Manual,0.3,6.6,1,3,3,1
167,Manual,0.5,6.2,1,3,3,1
169,Manual,0.3,7.1,1,3,3,1
171,Manual,0.3,7.1,1,2,2,1
173,Manual,0.3,7.3,1,3,3,1
175,Manual,0.2,8.1,1,3,3,1
177,Manual,0.3,7.4,1,3,3,1
179,Manual,0.2,7.6,1,3,3,1
181,Manual,0.4,6.2,1,3,3,1
183,Manual,0.5,6.2,1,3,3,1
185,Manual,0.4,6.3,1,3,3,1
187,Manual,0.3,6.5,1,2,2,1
189,Manual,0.4,6.3,1,2,2,1
191,Manual,0.3,6.4,1,3,3,1
193,Manual,0.3,7.3,1,3,3,1
195,Manual,0.5,7.2,1,3,3,1
197,Manual,0.5,7.3,1,3,3,1
199,Manual,0.4,8.3,1,3,3,1
201,Manual,0.4,8.1,1,2,2,1
203,Manual,0.4,6.3,1,3,3,1
205,Manual,0.3,7.4,1,2,2,1
207,Manual,0.3,6.4,1,3,3,1
209,Manual,0.3,6.2,1,3,3,1
211,Manual,0.3,7.3,1,3,3,1
213,Manual,0.3,8.3,1,2,2,1
215,Manual,0.3,6.3,1,3,3,1
217,Manual,0.3,6.4,1,2,2,1
219,Manual,0.3,7.4,1,3,3,1
221,Manual,0.3,8.3,1,3,3,1
223,Manual,0.4,6.4,1,3,3,1
225,Manual,0.3,7.4,1,3,3,1
227,Manual,0.4,6.6,1,3,3,1
229,Manual,0.3,7.7,1,2,2,1
231,Manual,0.4,8.2,1,3,3,1
233,Manual,0.4,8.3,1,3,3,1
235,Manual,0.3,6.6,1,3,3,1
237,Manual,0.4,7.3,1,2,2,1
239,Manual,0.4,7.2,1,3,3,1
241,Manual,0.3,8.2,1,3,3,1
243,Manual,0.4,8.3,1,3,3,1
245,Manual,0.3,6.3,1,3,3,1
247,Manual,0.3,6.2,1,3,3,1
249,Manual,0.4,6.3,1,2,2,1
